date,Agric,Food ,Chems,Rubbr,Txtls,Steel,FabPr,Aero ,Ships,Gold ,Mines,Coal ,Oil  ,Util ,Autos
19630701,0.33,-0.45,-0.61,-0.77,-0.45,-0.84,-0.22,-0.79,-0.98,0.72,-1.25,-1.26,-0.82,-0.18,-0.48
19630702,0.86,0.65,0.67,-0.02,0.8,0.72,-0.36,0.66,0.43,-0.19,-0.53,1.49,0.95,0.48,0.8
19630703,0.96,0.55,0.7,-0.47,0.5,0.45,-0.39,0.9,-0.25,-0.04,0.99,-0.05,1.04,0.12,0.19
19630705,-0.01,0.09,0.22,0.7,0.35,0.23,1.94,0.35,1.04,0.63,0.33,0.4,0.9,0.13,0.47
19630708,-0.15,-0.28,-0.63,0.43,-0.43,-0.9,-1,-0.74,-0.43,0.92,-1.27,-0.76,-0.79,0.02,-1.14
19630709,-0.51,0.21,0.29,0.34,0.57,0.88,2.05,0.56,0.3,-0.54,1.5,0.75,0.68,0.21,0.35
19630710,0.83,-0.25,-0.05,-0.59,0.61,-0.27,0.31,-0.38,-0.28,-0.17,0.13,-0.19,0.04,-0.2,-0.25
19630711,1.49,-0.28,-0.19,1.83,0.12,-0.18,-0.67,-0.25,-0.05,0.2,-0.95,-0.22,-0.01,0.13,-0.59
19630712,0.08,0.07,0.09,0.36,0.19,-0.2,-1.5,-0.61,-0.49,0.51,-0.14,-1.64,0.4,-0.11,-0.34
19630715,-1.61,-0.53,-0.55,-0.52,-0.52,-0.78,0.12,-1.26,-0.56,0.03,-0.68,-0.85,-0.87,-0.26,-1.01
19630716,1.12,-0.25,-0.55,-0.15,-0.02,0.06,0.38,-0.38,0.14,-0.19,-0.14,0.26,-0.18,-0.2,0.19
19630717,0.35,-0.38,-0.71,-0.2,0.01,-0.19,-0.08,-0.01,-0.65,-1.01,0.15,-0.28,-0.12,-0.2,-0.22
19630718,-1.3,-0.3,-0.36,-0.76,0.1,-0.52,-0.87,-0.37,-1.12,-1.24,-0.75,-0.54,-0.7,-0.15,-1.23
19630719,0.96,-0.14,-0.66,-0.71,-0.25,-0.72,0.32,-0.47,-0.29,0.02,-0.04,-0.52,-0.42,0.05,0.2
19630722,-0.3,-0.95,-0.81,-0.61,-0.57,-1.09,-1.64,-1.66,-1.74,-0.01,-0.63,0.04,-0.77,-0.45,-0.96
19630723,-1.12,0.09,-0.09,-0.56,0.36,0.21,-0.84,-0.54,-0.29,-0.27,-0.17,2.06,0.34,0.08,0.24
19630724,1.36,0.56,0.53,0.36,0.56,0.43,-1.05,0.36,0.05,1.11,-0.41,0.09,1.03,0.01,0.98
19630725,-0.16,0.19,-0.06,0.22,0.24,0.03,0.75,-0.17,0.95,0.53,-0.17,0.08,-0.01,0.47,-0.41
19630726,0.03,-0.04,0.13,0.14,0.45,0.25,-0.3,0.85,-0.44,-0.1,1.14,-0.25,0.78,0.09,1.28
19630729,0.04,0.14,0.06,-0.85,-0.08,0.16,-0.16,0.02,0.67,-0.1,0.21,0.6,0,0.17,0.44
19630730,0.22,0.5,0.86,1.21,0.53,0.87,-0.05,0.45,1.25,0.28,-1.04,-0.07,0.95,0.41,2.12
19630731,-0.42,0.32,0.73,0.2,0.39,-0.17,-0.57,-0.13,0.06,-0.09,-0.39,1.47,-0.06,0.2,-0.53
19630801,-0.58,-0.04,0.6,0.08,0.49,-0.35,0.44,-0.85,0.02,1.31,0.01,-0.1,-0.3,-0.07,-0.19
19630802,0.37,0.68,0.46,1.18,0.31,0.05,1.43,0.22,0.63,-0.27,0.25,0.73,0.66,0.28,0.39
19630805,0.29,0.08,0.71,1.37,0.39,1.16,-0.07,0.6,-0.05,0.06,0.33,1.2,0.94,0.21,0.43
19630806,0.19,0.77,0.45,-0.36,0.38,1.14,-0.12,0.28,0.45,-0.42,0.38,-0.49,0.77,0.18,0.18
19630807,0.24,0.05,-0.38,-1.04,-0.25,-0.23,0.27,-0.31,-0.03,1.35,0.03,-0.37,-0.15,0.22,-0.79
19630808,-0.86,0,0.22,0.21,0.1,-0.37,0.06,0.3,0.23,0.06,0.69,0.72,0.17,0.22,0.2
19630809,1.02,0.26,0.42,1.42,0.2,1.24,-1.71,-0.63,0.27,1.22,1.28,1.31,0.28,0.32,0.92
19630812,0.5,0.14,0.03,0.35,0.51,0.98,1.37,0.29,0.38,0.28,0.17,1.13,-0.24,0.43,0.17
19630813,-0.08,0.3,0.04,-0.16,-0.15,0.32,0.23,-0.08,0.23,-0.55,-0.73,0.18,0.3,0.27,0.19
19630814,-0.6,0.02,0.25,0.81,-0.06,1.31,0.08,0.18,0.25,-0.95,0.35,-0.16,-0.06,0.05,-0.07
19630815,0.34,0.26,0.25,-0.38,0.22,0.45,0.1,0.33,0.51,0.5,-0.02,0.01,0.38,0.59,1.6
19630816,0,0.81,0.29,-0.24,0.28,0.18,-0.27,-0.2,0.12,-0.26,-0.13,0.2,-0.15,0.26,0.55
19630819,-1.77,-0.2,-0.23,-0.31,0.26,-0.61,-1.1,-0.29,0.07,-0.01,0.63,0.29,-0.1,0.27,-0.55
19630820,-2.09,0.01,-0.01,1.39,0.25,-0.09,-0.41,-0.38,0.22,1.23,0.49,0.42,0.08,0.16,-0.03
19630821,0.78,-0.07,0.05,0.9,-0.15,0.08,-0.36,0.42,-0.23,-0.28,0.11,0.61,-0.16,-0.15,-0.71
19630822,0.16,0.02,0.51,0.46,0.34,1.54,0.74,0.99,-0.13,-0.62,0.1,0.26,0.21,0.22,1.41
19630823,0.51,0.36,0.63,1.48,0.3,0.8,-1.12,-0.23,0.03,-0.39,-0.36,-0.21,-0.04,0.13,1.78
19630826,-0.32,0.17,-0.04,0.45,0.05,0.47,0.98,0.47,0.28,-0.15,-0.14,0.59,0.09,0.14,0.69
